1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Pawn,2,1,3,0,2,39,142,309,132,34,Samoose,1,2,2,0,4,46,380,451,229,34,Precision,1,3,2,0,2,32,396,136,97,57,TAG,1,3,1,1,3,22,197,191,136,31,Pawn,2,2,3,1,2,8,118,338,145,25,youngster,2,1,3,0,2,27,155,320,116,29,marcman!,2,1,3,0,3,43,230,404,138,40,REDPANTS,2,0,3,0,2,33,216,364,166,26
Fox,2,1,2,2,1,59,191,188,139,26,Precision,2,2,3,0,4,46,394,397,148,44,youngster,1,3,2,0,2,32,195,333,139,32,VIO,2,0,3,0,1,18,48,103,79,23,Samoose,1,4,1,0,3,0,449,194,101,49,KingONerds,1,5,1,0,3,37,475,237,151,46,Altinator,1,2,3,1,2,51,308,386,140,31,marcman!,1,4,0,0,2,33,399,150,150,45
Fernando,1,2,1,0,2,39,192,214,169,38,Ben,1,4,2,1,4,46,581,441,176,38,Szeth,2,3,3,0,2,18,293,334,150,41,SOTRH,2,2,3,0,3,22,236,311,131,46,PLSNERF,2,1,3,0,3,0,254,413,167,33,marcman!,1,1,1,0,3,37,234,119,145,24,Fox,2,2,3,0,2,40,305,370,151,34,Samoose,1,1,1,0,2,33,276,196,142,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Szeth,1,5,2,1,2,42,495,285,126,49,Varz,2,0,3,0,2,38,97,317,133,21,Altinator,1,3,2,0,4,2,505,291,152,44,REDPANTS,2,2,3,0,2,13,186,346,120,33,Sheik,2,0,3,0,3,33,222,413,176,34,PLSNERF,1,2,2,1,4,42,522,413,175,29,Jasuni,1,1,2,0,6,33,420,382,186,53,Jasuni,2,0,3,1,4,5,158,363,145,59
Altinator,2,1,3,1,2,42,164,433,172,23,Fox,1,2,2,1,2,38,289,195,107,45,JMZ,2,2,3,2,4,2,297,523,212,22,Sheik,2,1,3,0,4,21,362,425,161,39,Nemesis,1,4,1,0,3,33,430,206,132,43,Player 2,1,3,2,0,4,42,299,417,162,34,Force,2,1,3,0,4,55,400,478,202,42,Sharknado,2,1,3,2,3,23,236,333,167,26
youngster,1,0,3,1,2,23,355,377,155,35,Altinator,2,0,3,0,2,37,60,389,134,17,CDJ,2,1,3,1,2,52,211,348,150,33,KingONerds,1,4,2,0,4,21,396,345,172,42,Szeth,2,2,3,0,2,4,176,304,143,42,Sheik,2,3,3,1,4,42,505,421,160,40,XY-10,1,4,3,1,6,33,556,460,166,28,CDJ,1,0,1,1,4,5,304,210,166,29
PLSNERF,2,2,3,0,2,29,326,424,181,33,KingONerds,1,4,1,2,2,38,485,94,56,49,TAG,1,0,1,0,4,2,329,194,169,37,Pawn,1,2,2,1,4,21,371,264,134,38,Force,1,2,2,1,3,33,358,283,108,40,Pawn,2,0,3,0,3,12,190,336,118,39,Zenith,2,3,2,0,6,33,312,436,173,19,Precision,1,3,1,0,4,5,441,227,115,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US8,2,1,3,0,2,50,253,328,168,32,JMZ,2,2,2,1,2,35,91,247,133,17,Sharknado,1,3,1,0,3,32,307,253,253,30,marcman!,1,3,3,0,3,11,204,390,162,26,Player 1,2,2,3,1,5,1,314,396,154,29,SOTRH,2,1,2,0,4,5,314,213,117,29,SOTRH,1,2,3,0,4,16,264,332,133,38,XY-10,2,1,3,1,1,36,133,210,91,39
