1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Sharknado,3,3,3,0,4,47,333,414,147,35,US8,1,2,2,0,4,16,339,410,162,30,MM500,3,2,3,0,3,28,282,370,170,48,Fox,2,3,3,0,4,19,442,436,156,32,LeonStrife,3,5,3,0,6,12,596,458,198,36,XY-10,3,2,3,0,3,17,261,434,155,27,KingONerds,1,3,2,0,3,22,253,384,247,36,MM500,3,3,3,0,2,55,181,367,141,32,CDJ,1,4,2,0,4,17,399,314,118,32
Elite V,4,0,3,0,3,28,168,335,124,29,CDJ,3,1,3,0,4,16,243,335,117,37,marcman!,2,2,3,0,5,44,411,409,159,41,STABBY_M,1,3,2,0,4,19,421,286,126,33,MM500,1,3,2,0,6,12,507,473,192,36,JediMaster,4,1,3,0,2,23,140,395,154,16,AnimeFreak,4,3,3,0,2,46,242,340,145,37,Elite V,2,3,3,0,3,19,338,298,123,22,XY-10,3,0,3,0,3,28,305,365,127,35
LeonStrife,2,2,3,0,3,45,364,451,158,36,King,4,1,3,0,2,53,214,366,151,34,Nemesis,2,5,3,0,4,16,395,375,138,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XY-10,4,4,3,0,3,1,154,390,146,21,SOTRH,1,4,2,0,3,52,207,298,135,43,STABBY_M,4,1,3,0,2,43,409,348,124,36,PLSNERF,2,3,3,0,4,21,471,324,116,37,Sheik,2,5,3,0,4,13,252,370,136,30,Vars,3,0,3,0,2,13,201,249,121,37,SOTRH,2,5,3,0,3,40,409,331,134,36,STABBY_M,4,2,3,0,3,37,198,402,145,23,STABBY_M,2,3,3,0,3,11,330,324,132,32
Zenith,2,4,3,0,6,3,356,338,121,33,LeonStrife,2,4,3,0,3,52,373,369,158,34,AnimeFreak,3,1,3,0,3,13,246,354,135,31,marcman!,3,2,3,0,3,10,284,287,119,31,Fox,4,0,3,0,1,55,117,305,137,18,CDJ,2,3,3,0,3,28,197,388,157,32,Nemesis,1,3,2,0,3,40,467,361,126,52,XY-10,2,1,3,0,4,43,466,429,176,44,Kronos,4,1,3,0,2,18,229,272,105,29
Sheik,4,1,3,0,1,36,97,199,90,37,STABBY_M,2,4,3,0,4,9,404,393,126,33,Fox,1,4,2,0,4,16,359,418,172,30,Zenith,1,6,2,0,4,21,501,365,138,34,Samoose,3,0,3,0,3,4,273,370,156,42,Ben,3,2,3,0,2,13,256,273,136,36,marcman!,3,1,3,0,2,45,127,308,139,30,JediMaster,1,6,2,0,4,43,552,430,0,37,Fox,3,3,3,0,2,59,180,396,155,18
marcman!,1,5,1,0,4,18,372,232,127,36,Samoose,1,3,1,0,4,9,409,232,161,34,STABBY_M,3,0,3,0,2,56,163,319,131,22,Elegance,4,0,3,0,2,19,71,386,203,29,Precision,1,4,0,0,4,13,424,143,143,44,Force,1,6,2,0,3,28,472,259,115,38,JediMaster,4,2,3,0,2,25,286,326,139,40,Phoenix,3,2,3,0,4,3,307,344,184,21,Sheik,1,4,2,0,3,11,296,233,129,43
AnimeFreak,2,2,3,0,4,18,331,326,151,30,Sheik,4,1,3,0,2,33,125,354,177,27,Elite V,4,1,3,0,1,57,116,286,131,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Szeth,2,4,3,0,3,45,351,450,188,43,Samoose,2,5,3,0,3,10,605,355,129,37,STABBY_M,4,2,3,0,1,24,198,265,122,52,Sharknado,3,1,3,0,2,19,272,276,113,33,STABBY_M,1,3,2,0,2,32,270,257,140,37,Elegance,3,0,3,0,4,5,101,426,165,26,AnimeFreak,2,5,3,0,5,36,359,402,143,46,Precision,1,5,1,0,4,18,446,190,135,49
,,,,,,,,,,,GLORFINDEL,1,3,1,0,3,45,481,179,132,37,Sharknado,4,4,3,0,3,7,342,390,181,24,Zero,1,4,2,0,5,29,318,521,189,34,AnimeFreak,2,3,3,0,2,42,260,329,125,58,Elite V,4,1,3,0,2,23,204,335,162,29,GLORFINDEL,4,2,3,0,3,44,258,335,137,26,Phoenix,3,2,3,0,4,29,0,340,130,21,Samoose,4,2,3,0,2,35,238,346,132,28
,,,,,,,,,,,FRISBEE,4,3,3,0,2,32,184,291,115,46,SOTRH,3,3,3,0,3,37,188,318,143,43,Ben,3,2,2,1,1,40,163,293,167,30,JediMaster,4,2,3,0,2,11,246,284,117,36,Szeth,3,3,3,0,2,30,414,305,142,53,Sheik,1,6,1,0,4,14,522,144,121,45,Sheik,1,2,2,0,5,36,338,289,171,36,Zero,2,0,3,0,4,18,210,371,129,39
,,,,,,,,,,,,,,,,,,,,,,thread.spk,1,2,2,0,6,2,555,365,141,41,Samoose,2,2,3,0,5,29,432,374,167,29,KingONerds,1,5,2,0,2,42,319,263,136,38,KingONerds,2,4,3,0,2,32,185,403,208,34,Zenith,2,2,3,0,4,14,309,336,155,28,CDJ,4,2,3,0,3,20,317,232,113,33,Szeth,3,3,3,0,3,4,297,333,134,32
,,,,,,,,,,,,,,,,,,,,,,Szeth,2,0,3,0,3,18,166,325,119,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
